age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income,native-region
59,Private,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,Low,Low,Medium,<=50K,North_America
56,Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,Low,Low,Medium,>50K,North_America
19,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,Low,Low,Medium,<=50K,North_America
39,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,Low,Low,High,<=50K,North_America
49,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,Medium,<=50K,North_America
23,Local-gov,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,Low,Low,High,<=50K,North_America
20,Private,Some-college,10,Never-married,Sales,Own-child,Black,Male,Low,Low,Medium,<=50K,North_America
45,Private,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,Low,Low,Medium,<=50K,North_America
30,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,Low,Low,Medium,<=50K,North_America
22,State-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,Low,Low,Low,<=50K,North_America
48,Private,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,Low,Low,Medium,<=50K,Central_America
21,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,Low,Low,Medium,<=50K,North_America
19,Private,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,Low,Low,Low,<=50K,North_America
48,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,Medium,<=50K,North_America
31,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Low,Low,Medium,<=50K,North_America
53,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,Medium,<=50K,North_America
24,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,Low,Low,High,<=50K,North_America
49,Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,Low,Low,Medium,<=50K,North_America
25,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,Low,Low,Low,<=50K,North_America
57,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,Low,Low,Medium,>50K,North_America
53,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Low,Low,Low,<=50K,North_America
44,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,Low,Low,Medium,<=50K,North_America
41,State-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,Medium,<=50K,North_America
29,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,Low,Low,Medium,<=50K,North_America
25,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,Low,Low,Medium,<=50K,North_America
47,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,Low,Medium,High,>50K,Central_America
50,Federal-gov,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,Low,Low,High,>50K,North_America
47,Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,Low,Low,High,<=50K,North_America
43,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,Low,Low,Medium,>50K,North_America
46,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Low,Low,Medium,<=50K,Central_America
35,Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,Low,Low,Medium,<=50K,Central_America
41,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,Low,Low,High,<=50K,North_America
30,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Medium,Low,Medium,<=50K,North_America
30,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,Low,Low,Medium,<=50K,North_America
48,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,Low,Low,Medium,<=50K,North_America
42,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,Medium,>50K,North_America
29,Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,Low,Low,High,<=50K,North_America
36,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,Medium,<=50K,North_America
28,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,Low,Low,Medium,<=50K,North_America
53,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,Low,Low,Medium,>50K,North_America
49,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,High,>50K,North_America
19,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,Low,Low,Low,<=50K,North_America
31,Private,Bachelors,13,Separated,Sales,Own-child,Black,Female,Low,Low,Medium,<=50K,North_America
29,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,Low,Low,High,>50K,North_America
23,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,Low,Low,Medium,<=50K,North_America
79,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,Low,Low,Low,<=50K,North_America
27,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,Low,Low,Medium,<=50K,Central_America
40,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,Low,Low,Medium,<=50K,North_America
18,Private,11th,7,Never-married,Other-service,Own-child,White,Female,Low,Low,Low,<=50K,North_America
31,Local-gov,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,Low,Low,Medium,<=50K,North_America
18,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,Low,Low,Low,<=50K,North_America
52,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,Low,Low,Medium,<=50K,Central_America
46,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,Low,Low,Medium,<=50K,North_America
59,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,Low,Low,High,<=50K,North_America
44,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,High,Low,Medium,>50K,North_America
53,Private,HS-grad,9,Divorced,Sales,Own-child,White,Female,Low,Low,Low,<=50K,North_America
49,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,Low,Low,Medium,>50K,North_America
33,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,High,<=50K,North_America
30,Private,9th,5,Never-married,Sales,Not-in-family,White,Male,Low,Low,Medium,<=50K,North_America
43,Federal-gov,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,Low,Low,High,>50K,North_America
57,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,Medium,<=50K,North_America
37,Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,Low,Low,Medium,<=50K,North_America
28,Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,Low,Low,Low,<=50K,North_America
34,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,Low,Low,Medium,>50K,North_America
29,Local-gov,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,Low,Low,High,<=50K,North_America
48,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Medium,High,>50K,North_America
37,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,Low,Low,High,>50K,North_America
48,Private,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,Low,Low,Medium,<=50K,Europe_West
32,Federal-gov,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,Low,Low,Medium,<=50K,North_America
76,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,Medium,>50K,North_America
44,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,High,Low,High,>50K,North_America
47,Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,Low,Low,High,<=50K,North_America
20,Private,Some-college,10,Never-married,Tech-support,Own-child,White,Female,Low,Low,Medium,<=50K,North_America
29,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,Low,Low,Medium,<=50K,North_America
32,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,Medium,Low,Medium,>50K,North_America
30,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,Low,Low,Medium,<=50K,North_America
31,Local-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,Medium,<=50K,North_America
42,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Low,Low,Medium,<=50K,North_America
24,Private,Bachelors,13,Never-married,Sales,Other-relative,White,Male,Low,Low,Medium,<=50K,North_America
38,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,Medium,>50K,North_America
56,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,Low,Medium,High,>50K,North_America
28,Private,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,Medium,Low,Low,<=50K,North_America
36,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,Low,Low,Medium,<=50K,North_America
53,Private,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Low,Low,High,<=50K,North_America
56,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,Low,Low,High,<=50K,North_America
49,Local-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,Low,Low,Medium,>50K,North_America
55,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,Low,Low,High,<=50K,North_America
22,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,Low,Low,Medium,<=50K,North_America
21,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,Low,Low,Medium,<=50K,North_America
40,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,High,<=50K,North_America
30,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,Low,Low,Medium,<=50K,Europe_West
29,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,High,>50K,North_America
19,Private,Some-college,10,Never-married,Other-service,Own-child,Black,Male,Low,Low,Low,<=50K,North_America
47,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,Low,Low,Medium,>50K,North_America
20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,Low,Medium,Low,<=50K,North_America
31,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,Low,Low,Medium,>50K,North_America
39,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,Low,Low,Medium,<=50K,North_America
28,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,Low,Low,High,<=50K,North_America
24,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,Low,Medium,Medium,<=50K,North_America
38,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,Medium,Low,Low,<=50K,North_America
37,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,Low,Low,High,<=50K,North_America
46,Private,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,Low,Low,Low,<=50K,North_America
38,Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,Medium,>50K,Asia_Central
43,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,High,<=50K,North_America
27,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,Low,Low,Low,<=50K,North_America
20,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,Low,Low,Low,<=50K,North_America
49,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,Low,Low,Medium,>50K,North_America
61,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,Medium,<=50K,North_America
27,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,Low,Low,Medium,<=50K,North_America
19,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,Low,Low,Low,<=50K,Central_America
45,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,Low,Low,Medium,>50K,North_America
70,Private,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,Low,Low,Medium,<=50K,North_America
31,Private,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,Low,Low,Low,<=50K,North_America
22,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,Low,Low,Low,<=50K,North_America
36,Private,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,Low,Low,Low,<=50K,North_America
64,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,High,Medium,<=50K,North_America
47,Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,Low,Low,Low,<=50K,Central_America
34,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,Medium,<=50K,North_America
33,Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,Low,Low,Medium,<=50K,Asia_East
21,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,Low,Low,Low,<=50K,North_America
48,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,High,<=50K,North_America
23,Private,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,Low,Low,Medium,<=50K,North_America
71,Self-emp-not-inc,Some-college,10,Separated,Sales,Unmarried,Black,Male,Low,Medium,Low,<=50K,North_America
29,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,Low,Low,High,<=50K,North_America
42,Private,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,Low,Low,High,<=50K,North_America
25,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,Low,Low,Medium,<=50K,North_America
44,Self-emp-inc,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,Low,Low,Medium,<=50K,North_America
28,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,Low,Low,Medium,<=50K,Europe_West
45,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,Low,Low,Medium,>50K,North_America
36,Private,Some-college,10,Divorced,Other-service,Unmarried,White,Female,Low,Low,Medium,<=50K,Central_America
39,Federal-gov,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,Low,Low,Medium,<=50K,North_America
46,State-gov,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,Low,Low,Medium,<=50K,North_America
18,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,Low,Low,Low,<=50K,North_America
66,Local-gov,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,Low,Low,Low,<=50K,North_America
27,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,Low,High,Medium,<=50K,North_America
28,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,Low,Low,Medium,<=50K,North_America
51,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,Low,Medium,Medium,>50K,North_America
27,Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,Low,Low,High,<=50K,North_America
28,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,Medium,>50K,North_America
27,Private,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,Low,Low,Low,<=50K,North_America
21,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,Low,Low,Medium,<=50K,North_America
34,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,Low,Low,Medium,<=50K,North_America
18,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,Low,Low,Low,<=50K,North_America
33,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,High,<=50K,North_America
44,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,Low,Low,Low,>50K,North_America
43,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,Low,Low,Medium,<=50K,North_America
30,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,Low,Low,Medium,<=50K,North_America
40,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Low,Low,Medium,>50K,Central_America
37,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,Low,Low,Medium,>50K,North_America
34,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,Low,Low,Medium,<=50K,North_America
41,Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,Low,Low,Medium,<=50K,North_America
31,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,Low,Low,High,<=50K,North_America
58,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,Low,>50K,North_America
38,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,Low,Low,Low,<=50K,North_America
24,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Low,Low,Medium,<=50K,North_America
41,Local-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,Low,Low,Medium,<=50K,North_America
47,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,Low,Low,Medium,<=50K,North_America
41,Federal-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,Low,Low,Low,<=50K,North_America
23,Private,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,Low,Low,Medium,<=50K,Central_America
36,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,Low,Low,Medium,<=50K,North_America
40,Federal-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,High,Low,High,>50K,North_America
35,Private,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,Medium,Low,Medium,>50K,North_America
24,Self-emp-not-inc,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,Low,Low,Medium,<=50K,North_America
26,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,Low,Medium,Medium,<=50K,North_America
51,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,High,>50K,North_America
42,Local-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,Low,Low,Medium,<=50K,North_America
37,State-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,Low,Low,Low,<=50K,North_America
18,Private,11th,7,Never-married,Sales,Own-child,White,Female,Low,Low,Medium,<=50K,North_America
36,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male,Medium,Low,Low,>50K,North_America
35,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,Low,Low,High,<=50K,North_America
58,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,High,Low,Low,>50K,North_America
17,Private,11th,7,Never-married,Sales,Own-child,White,Female,Low,Low,Low,<=50K,North_America
44,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,Low,Low,Medium,<=50K,North_America
37,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,Medium,>50K,North_America
35,Private,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,Low,Low,Medium,<=50K,North_America
60,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,Low,Low,Medium,<=50K,North_America
54,Self-emp-inc,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Low,Low,Medium,>50K,North_America
37,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,Low,Low,High,>50K,North_America
50,Private,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,Low,Low,Medium,<=50K,North_America
38,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,Low,Low,High,<=50K,Europe_East
45,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,High,<=50K,North_America
25,Private,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,Low,Low,Medium,<=50K,North_America
31,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Low,Low,Medium,<=50K,North_America
90,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,Low,High,Medium,<=50K,North_America
54,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,Low,Low,Low,<=50K,North_America
53,Local-gov,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,Low,Low,Low,<=50K,North_America
18,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,Low,Low,Medium,<=50K,North_America
66,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,Low,Low,High,<=50K,North_America
75,Private,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female,Low,Low,Low,<=50K,South_America
65,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,Low,Low,Medium,<=50K,North_America
35,Private,11th,7,Separated,Transport-moving,Not-in-family,Black,Male,Medium,Low,Medium,<=50K,North_America
41,Private,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,Low,Low,Low,<=50K,North_America
25,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,Low,Low,Medium,<=50K,North_America
33,Private,Some-college,10,Divorced,Craft-repair,Other-relative,Other,Female,Low,Low,Medium,<=50K,North_America
28,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,Low,Low,High,>50K,North_America
59,State-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,Low,Low,Medium,<=50K,North_America
40,State-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,Low,<=50K,North_America
41,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,High,>50K,Asia_Central
38,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,High,>50K,North_America
23,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,Low,Low,Medium,<=50K,North_America
40,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,Medium,>50K,North_America
41,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,Low,Low,Low,<=50K,North_America
24,State-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,Low,Low,High,<=50K,North_America
38,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,Low,Medium,Medium,<=50K,North_America
58,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,Low,Low,Medium,>50K,North_America
32,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,Low,Low,Low,<=50K,North_America
40,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,Low,Medium,High,>50K,North_America
41,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,Low,Low,Medium,>50K,North_America
42,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,Low,Low,Medium,<=50K,North_America
59,Local-gov,10th,6,Widowed,Other-service,Unmarried,Black,Female,Low,Low,Low,<=50K,North_America
19,Local-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,Low,Low,Medium,<=50K,North_America
58,Private,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,Low,Low,Low,<=50K,North_America
42,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,Low,Low,Medium,>50K,Asia_East
20,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,Low,Low,Medium,<=50K,North_America
32,Private,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,Low,Low,Low,<=50K,North_America
45,Private,Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,White,Female,Low,Low,Medium,<=50K,North_America
50,Private,7th-8th,4,Divorced,Craft-repair,Not-in-family,White,Male,Low,Low,Medium,<=50K,North_America
36,Private,Bachelors,13,Divorced,Prof-specialty,Own-child,White,Female,Low,Low,Medium,<=50K,North_America
